ticker,name,sector
SRAJ,Sejahteraraya Anugrahjaya,Kesehatan
ADRO,Alamtri Resources Indonesia,Energi
PTBA,Bukit Asam,Energi
ITMG,Indo Tambangraya Megah,Energi
HRUM,Harum Energy,Energi
INDY,Indika Energy,Energi
BYAN,Bayan Resources,Energi
BUMI,Bumi Resources,Energi
DOID,Delta Dunia Makmur,Energi
DEWA,Darma Henwa,Energi
ADMR,Adaro Minerals Indonesia,Energi
TOBA,TBS Energi Utama,Energi
GEMS,Golden Energy Mines,Energi
MBAP,Mitrabara Adiperdana,Energi
PTRO,Petrosea,Energi
RAJA,Rukun Raharja,Energi
MEDC,Medco Energi Internasional,Energi
ELSA,Elnusa,Energi
AKRA,AKR Corporindo,Energi
DSSA,Dian Swastatika Sentosa,Energi
CUAN,Petrindo Jaya Kreasi,Energi
BREN,Barito Renewables Energy,Infrastruktur
ANTM,Aneka Tambang,Barang Baku
INCO,Vale Indonesia,Barang Baku
MDKA,Merdeka Copper Gold,Barang Baku
TINS,Timah,Barang Baku
PSAB,J Resources Asia Pasifik,Barang Baku
BRMS,Bumi Resources Minerals,Barang Baku
NCKL,Trimegah Bangun Persada,Barang Baku
MBMA,Merdeka Battery Materials,Barang Baku
AMMN,Amman Mineral Internasional,Barang Baku
HRTA,Hartadinata Abadi,Barang Baku
SMGR,Semen Indonesia,Barang Baku
INTP,Indocement Tunggal Prakarsa,Barang Baku
SMBR,Semen Baturaja,Barang Baku
SMCB,Solusi Bangun Indonesia,Barang Baku
BRPT,Barito Pacific,Barang Baku
TPIA,Chandra Asri Pacific,Barang Baku
ESSA,Essa Industries Indonesia,Barang Baku
AVIA,Avia Avian,Barang Baku
MARK,Mark Dynamics Indonesia,Barang Baku
INKP,Indah Kiat Pulp & Paper,Barang Baku
TKIM,Pabrik Kertas Tjiwi Kimia,Barang Baku
FASW,Fajar Surya Wisesa,Barang Baku
ISSP,Steel Pipe Industry of Indonesia,Barang Baku
KRAS,Krakatau Steel,Barang Baku
ARNA,Arwana Citramulia,Barang Baku
TOTO,Surya Toto Indonesia,Perindustrian
KDSI,Kedawung Setia Industrial,Perindustrian
BSDE,Bumi Serpong Damai,Properti
CTRA,Ciputra Development,Properti
SMRA,Summarecon Agung,Properti
PWON,Pakuwon Jati,Properti
ASRI,Alam Sutera Realty,Properti
DMAS,Puradelta Lestari,Properti
LPKR,Lippo Karawaci,Properti
APLN,Agung Podomoro Land,Properti
PANI,Pantai Indah Kapuk Dua,Properti
KIJA,Kawasan Industri Jababeka,Properti
DILD,Intiland Development,Properti
SSIA,Surya Semesta Internusa,Properti
WIKA,Wijaya Karya,Infrastruktur
PTPP,PP Persero,Infrastruktur
ADHI,Adhi Karya,Infrastruktur
TOTL,Total Bangun Persada,Infrastruktur
NRCA,Nusa Raya Cipta,Infrastruktur
AALI,Astra Agro Lestari,Konsumen Primer
LSIP,PP London Sumatra Indonesia,Konsumen Primer
SIMP,Salim Ivomas Pratama,Konsumen Primer
SGRO,Sampoerna Agro,Konsumen Primer
DSNG,Dharma Satya Nusantara,Konsumen Primer
TBLA,Tunas Baru Lampung,Konsumen Primer
SSMS,Sawit Sumbermas Sarana,Konsumen Primer
ANJT,Austindo Nusantara Jaya,Konsumen Primer
BWPT,Eagle High Plantations,Konsumen Primer
SMDR,Samudera Indonesia,Transportasi & Logistik
TMAS,Temas,Transportasi & Logistik
ASSA,Adi Sarana Armada,Transportasi & Logistik
BIRD,Blue Bird,Transportasi & Logistik
GIAA,Garuda Indonesia,Transportasi & Logistik
IPCC,Indonesia Kendaraan Terminal,Transportasi & Logistik
IPCM,Jasa Armada Indonesia,Transportasi & Logistik
HITS,Humpuss Intermoda Transportasi,Transportasi & Logistik
SHIP,Sillo Maritime Perdana,Transportasi & Logistik
NELY,Pelayaran Nelly Dwi Putri,Transportasi & Logistik
